"","Estimate","Std. Error","t value","Pr(>|t|)","padj","fold_change","gene","Chr","male_fold_change","female_fold_change","opp"
"ILMN_1775330",-0.0377705882367875,0.00797421372932894,-4.73659090649505,3.42179161210464e-06,0.0409656891801168,1.20026000112089,"C15orf52","15",1.17242208234579,1.26111259821604,"no"
"ILMN_1663484",0.0562535845328682,0.00863774696848243,6.51252979950991,3.29878067885335e-10,3.95523803394516e-06,-1.02857617271068,"C15orf63,SERF2-C15ORF63","15",-1.02690010156761,-1.03211750117392,"no"
"ILMN_1699852",0.0603214849924735,0.00716640040099922,8.41726412384979,1.85485016580697e-15,2.22433631883571e-11,-1.01898689950583,"CES4A","16",-1.03007047889569,1.00399899403671,"yes"
"ILMN_1710326",-0.0200231425480291,0.00426262659347461,-4.69737193932991,4.09165346477627e-06,0.0489730003199072,-1.18767760521301,"CLDND1","3",-1.16017670072455,-1.24778984854075,"no"
"ILMN_1663512",0.0119643879312883,0.00251465885480469,4.75785727691384,3.10412915406159e-06,0.0371750507490416,-1.03125796206436,"COX5B","2",-1.03984733154323,-1.01338725971307,"no"
"ILMN_1709440",0.0283151149173662,0.0059532718124894,4.75622746772015,3.12743186731959e-06,0.0374509966111521,1.08308035425594,"CPM","12",1.07498825465206,1.10033469575272,"no"
"ILMN_1775304",-0.0318928489898631,0.00648271960054513,-4.9196712113202,1.46269240567202e-06,0.0175245177123565,1.05946929791968,"DNAJB1","19",1.06784207326819,1.04203780259713,"no"
"ILMN_1752455",-0.0267711735705022,0.00550575439757465,-4.86239879902656,1.91331941237089e-06,0.0229196532407909,1.3909629052066,"DOCK5","8",1.34085282996202,1.50278827800407,"no"
"ILMN_1777745",0.0635110207749534,0.0106649289119029,5.95512837446766,7.57943861323461e-09,9.08623100954565e-05,-1.05069726588093,"FAM133B","7",-1.03874853220751,-1.07633153692632,"no"
"ILMN_1791052",-0.0295974785101295,0.00572607312192131,-5.16889635880138,4.41942838574521e-07,0.0052971268631542,1.0533251163434,"FKBPL","6",1.04476847879173,1.07158863367319,"no"
"ILMN_1797342",0.0142884211344086,0.00283563256698388,5.03888314049322,8.29839269758403e-07,0.0099447938087847,1.0124624142929,"FNBP1","9",1.00185817389144,1.03518011794141,"no"
"ILMN_1701643",-0.0197513484417489,0.00420421721649906,-4.69798476735137,4.08027523243788e-06,0.0488408945322814,-1.1563663063082,"GDPD5","11",-1.10564486072912,-1.27101180218276,"no"
"ILMN_1739397",-0.0260644893915119,0.00522405041441198,-4.98932577672027,1.05166549263751e-06,0.0126021075982752,-1.04255876729749,"GLMN","1",-1.04092270449877,-1.04601523904321,"no"
"ILMN_1782753",-0.0236753982260453,0.00494550292642418,-4.78725795500918,2.71142500345647e-06,0.0324747372663981,-1.10683642757142,"LOC153684","5",-1.09962078101498,-1.12219902012119,"no"
"ILMN_1653601",0.0118845910664822,0.00233843637281187,5.08228113651496,6.73370469929723e-07,0.00807034508210773,1.07704706295491,"TLK2","17",1.0518159458477,1.13222182687273,"no"
"ILMN_1741599",-0.0616683474826185,0.00941070871485342,-6.55299716006342,2.60720460361812e-10,3.12629904019849e-06,1.01486318219992,"MEMO1","2",-1.00029497166248,1.04756604672887,"yes"
"ILMN_2258774",0.0112334940654234,0.00236546334872549,4.74896137007406,3.23338941879783e-06,0.0387133715112664,-1.1570993128201,"MRPL43","10",-1.13003410218161,-1.2162814561744,"no"
"ILMN_1675848",0.076746815994624,0.00805612079808077,9.52652249366813,7.14673907857623e-19,8.57108417693647e-15,1.05710932277485,"MYL12A","18",1.06313213782969,1.04452757451004,"no"
"ILMN_1780546",0.0677894090720747,0.00585770328164734,11.5726942476695,1.12322829889594e-25,1.34720002169579e-21,1.03515244237263,"OSM","22",1.00813770261531,1.09448069881719,"no"
"ILMN_1775823",-0.0230365886852646,0.00467079892751132,-4.93204461223486,1.37979836914107e-06,0.0165327440590483,-1.04390405966214,"POFUT2","21",-1.03285861782834,-1.06757094996148,"no"
"ILMN_1718303",-0.0302933524778788,0.00623085120317158,-4.86183211411935,1.918386993589e-06,0.0229784394092091,1.12877287416612,"PVRL2","19",1.13003503768123,1.12611744506085,"no"
"ILMN_1672662",0.0155989908651687,0.00328351833740915,4.75069400022813,3.20781352919742e-06,0.0384103591986098,-1.13453851472266,"SLC20A1","2",-1.1138852475321,-1.17932841147801,"no"
"ILMN_2335072",0.0478802795601645,0.00774437738104165,6.18258604976768,2.16116419258982e-09,2.59101975049593e-05,-1.08097592441085,"TAF1C","16",-1.07786634060705,-1.0875588634951,"no"
"ILMN_1738093",-0.0239919098281559,0.00488097352618015,-4.91539437767284,1.49244840956694e-06,0.017879531946612,-1.05175038066247,"RNFT2","12",-1.05813315647322,-1.03842430563841,"no"
"ILMN_1653134",-0.0274275480133416,0.00582497446044575,-4.7086125784048,3.88773246565511e-06,0.0465400453463573,1.28616407734449,"TMEM188","16",1.24594493840353,1.37522902955129,"no"
"ILMN_1740185",0.0227687456408624,0.00431839861653498,5.27249743774966,2.65161254647049e-07,0.00317848795945418,-1.18011868554845,"TPMT","6",-1.16896730245319,-1.20397010014668,"no"
